,id,idade_empresa_anos,vl_total_veiculos_pesados_grupo,vl_total_veiculos_leves_grupo,nu_meses_rescencia,empsetorcensitariofaixarendapopulacao,qt_socios,idade_media_socios,qt_socios_feminino,vl_faturamento_estimado_aux,vl_faturamento_estimado_grupo_aux,qt_filiais,fl_matriz,fl_me,fl_sa,fl_mei,fl_ltda,fl_st_especial,fl_email,fl_telefone,fl_rm,fl_optante_simples,fl_passivel_iss,de_natureza_juridica,sg_uf,natureza_juridica_macro,de_ramo,setor,idade_emp_cat,dt_situacao,nm_divisao,nm_segmento,sg_uf_matriz,de_saude_tributaria,de_saude_rescencia,de_nivel_atividade,nm_meso_regiao,nm_micro_regiao,de_faixa_faturamento_estimado,de_faixa_faturamento_estimado_grupo
0,bb61c09449a1c1f8b78955d8b7a7f73599e78358993fe24b56a3e11f7d6a0bce,1.233927745114824,-0.021971390058868254,-0.03628963492645328,0.10798341717738418,-0.6882695840161879,2.3458592363137586e-16,0.010405636475246718,0.0,4.673704646354246,-0.0278814308977424,-0.05705417031076723,1,0,0,0,0,0,1,0,0,0,1,33,2,5,0,4,5,2901,0,0,9,4,0,0,10,52,4,4
1,16843c9ffb920170477118933798510d8d5f00f5c56c1221773356355bded321,0.6697791577674141,-0.03577424016618158,-0.039611403168646,-0.21833151469324613,-0.6426017205053506,0.17737387637513222,2.7286460577749643,-0.2276208744208894,0.8986599174186829,-0.04477065262863034,-0.061321969709905076,1,0,0,0,0,0,0,1,0,0,1,64,3,2,22,4,2,2870,36,11,16,4,0,0,9,11,3,3
2,1b8d092daff12bed8b3c2ab93bf5df2921865a68aca185f51e31e7105abb0c48,3.1648545008993674,-0.049577090273494905,-0.04044184522919418,-0.21833151469324613,0.594536968935371,2.3458592363137586e-16,0.010405636475246718,0.0,3.057786877814962,-0.035362907577217606,-0.061321969709905076,1,0,0,0,0,0,1,1,1,0,1,42,1,0,0,4,5,748,0,0,2,1,0,0,2,43,5,5
3,3aafa3a1f12f483740a52956af100223333d0e3c79bf2ce341896dd554e72293,3.5261375356248816,-0.021971390058868254,-0.039611403168646,-0.21833151469324613,-0.9896214871697855,2.3458592363137586e-16,0.010405636475246718,0.0,0.785562790921735,-0.045263439274180535,-0.061321969709905076,1,0,0,0,0,0,0,0,1,0,1,33,3,5,0,4,5,2887,0,0,16,1,0,0,4,72,3,3
4,c60431fbca90067f105570e1e8a684bcd7048205bbf6c40d71c3d558626f2344,3.5272772297407333,-0.049577090273494905,-0.04044184522919418,-0.21833151469324613,3.2065829172330996e-14,2.3458592363137586e-16,0.010405636475246718,0.0,1.2568008179923515,-0.043210161584388077,-0.05918807001033615,1,0,0,0,0,0,0,0,0,0,1,33,4,5,0,4,5,2777,0,0,19,1,0,0,0,8,5,5
5,5de08033561948a226f8ba8f8668a4ff4123be8ea7114dce5d7c0d74f61837bf,3.86234729980162,-0.03577424016618158,-0.03712007698700147,-0.21833151469324613,-0.3023014759923739,0.5295342357926749,-0.47121929760804004,0.0,1.3870338727464129,-0.03519864565190393,-0.05918807001033615,1,0,0,0,0,0,1,1,1,0,1,0,4,3,22,4,5,2870,36,11,19,4,0,0,6,48,5,5
6,194e619cb6417f92f75653406cf04106debc5035f13a8850b00428fd34d91d72,0.6016824343451759,-0.049577090273494905,-0.04044184522919418,-0.21833151469324613,0.5222709969083446,2.3458592363137586e-16,0.010405636475246718,0.0,6.478118290988034,-0.020459844201748133,-0.061321969709905076,1,0,0,0,0,0,0,0,1,0,1,42,2,0,0,4,2,2006,0,0,9,4,0,0,8,0,4,4
7,cc734f72fdd8753ba2e7638f3d09e0597fd859735904dafab03cec6b347b331d,1.7234263678738388,0.019437160263071716,-0.03795051904754965,-0.21833151469324613,-0.4667534849429574,-0.17478648304241043,2.0286755112849324,0.0,0.8712424322073016,-0.04475532663663284,-0.05918807001033615,1,0,0,0,0,0,0,0,1,0,1,17,1,5,21,4,5,2040,3,3,2,4,0,0,2,43,3,3
8,7e46107cb32e64f7f90ec16372d29f205f0d9781140308267f8c5d07b65a22fe,-0.1562141526973038,-0.03577424016618158,-0.031306982563164214,-0.21833151469324613,3.2065829172330996e-14,0.17737387637513222,-0.2712277128966023,0.0,1.1437036914954037,-0.04370294822993827,-0.061321969709905076,1,0,0,0,0,0,1,1,0,0,1,60,0,2,27,4,3,4293,77,8,0,4,0,0,17,57,5,5
9,2206453fbc92af65e47ce6ee2be27fa90ac427845ea0a539a1ab78df1388e7d2,0.1130385821730508,-0.049577090273494905,-0.03795051904754965,-0.21833151469324613,1.0764552906435128,0.17737387637513222,0.6287344183048678,-0.2276208744208894,0.7170190778932817,-0.04556209784724126,-0.061321969709905076,1,0,0,0,0,0,1,1,0,0,1,60,5,2,20,4,1,3482,82,5,20,4,0,0,19,73,3,3
