,id,idade_empresa_anos,vl_total_veiculos_pesados_grupo,vl_total_veiculos_leves_grupo,nu_meses_rescencia,empsetorcensitariofaixarendapopulacao,qt_socios,idade_media_socios,qt_socios_feminino,vl_faturamento_estimado_aux,vl_faturamento_estimado_grupo_aux,qt_filiais,fl_matriz,fl_me,fl_sa,fl_mei,fl_ltda,fl_st_especial,fl_email,fl_telefone,fl_rm,fl_optante_simples,fl_passivel_iss,de_natureza_juridica,sg_uf,natureza_juridica_macro,de_ramo,setor,idade_emp_cat,dt_situacao,nm_divisao,nm_segmento,sg_uf_matriz,de_saude_tributaria,de_saude_rescencia,de_nivel_atividade,nm_meso_regiao,nm_micro_regiao,de_faixa_faturamento_estimado,de_faixa_faturamento_estimado_grupo
0,09e95c1a84049001d086470a8f320a19b076f955a89122ff8360ac2e4d6eca5d,0.13469277037426455,-0.049577090273494905,-0.03712007698700147,-0.21833151469324613,1.5379661747064841,2.3458592363137586e-16,0.010405636475246718,0.0,10.86662898542175,-0.0013382313804931932,-0.061321969709905076,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,4,1,3409,0,0,0,4,0,0,17,57,6,6
1,dc9d155f5bcd3172031e2ec9431786e8871ff4b0ff4728bb62194ca0842cce3e,3.5192993709297586,0.1712685114435183,-0.023833004018230595,-0.21833151469324613,-0.3112297299621357,2.3458592363137586e-16,0.010405636475246718,0.0,5.854370302849231,-0.023177638086209873,-0.061321969709905076,1,0,0,0,0,0,0,0,1,0,1,33,4,5,0,4,5,2618,0,0,19,4,0,0,0,1,4,4
2,16843c9ffb920170477118933798510d8d5f00f5c56c1221773356355bded321,0.6697791577674141,-0.03577424016618158,-0.039611403168646,-0.21833151469324613,-0.6426017205053506,0.17737387637513222,2.7286460577749643,-0.2276208744208894,0.8986599174186829,-0.04477065262863034,-0.061321969709905076,1,0,0,0,0,0,0,1,0,0,1,64,3,2,22,4,2,2870,36,11,16,4,0,0,9,11,3,3
3,ff045934d90aab184dd15e66daf3b3c97193bda5449298784b664681610609a0,3.091059306897862,-0.049577090273494905,-0.04044184522919418,-0.21833151469324613,0.09277116976134817,2.3458592363137586e-16,0.010405636475246718,0.0,7.341768942093294,-0.016696746760922483,-0.05918807001033615,1,0,0,0,0,0,0,0,0,0,1,33,1,5,0,4,5,2870,0,0,2,4,0,0,13,6,4,4
4,a0ce528caab2c62497a548d0ebd9e935143ef81ed7dbf074dcd7e0c7dd50ae11,1.0732308747795003,-0.008168539951554933,-0.030476540502616032,-0.21833151469324613,-0.6230134838632134,0.8816945952102174,0.5954024875196271,0.0,0.9089414743729509,-0.04472585384267124,-0.061321969709905076,1,0,0,0,0,0,0,0,0,0,1,60,4,2,17,0,5,2901,2,1,19,4,0,0,11,47,3,3
5,77ed856930ed9c2b5348eca951d152b5655c98af3bb44616674eaaa17846c7c7,1.0484425277596903,-0.008168539951554933,-0.03712007698700147,2.500959584228673,1.2444640836958711,0.17737387637513222,0.3787449374155705,-0.2276208744208894,0.6279122509562923,-0.0459503539922202,-0.04638467181292262,1,0,0,0,0,0,1,1,0,0,1,60,0,2,20,4,5,2870,79,5,0,4,0,0,17,57,3,3
6,099927213e8cf60291e8241bc78a1d92da8fbb2826ae30b45cad02dcc2ea19ba,0.9316238808847213,-0.049577090273494905,-0.04044184522919418,-0.21833151469324613,-0.12696135244452006,2.3458592363137586e-16,0.010405636475246718,0.0,0.595353987267777,-0.04609221681442404,-0.061321969709905076,1,0,0,0,0,0,1,0,1,0,1,7,4,3,20,4,2,1072,82,5,19,4,0,0,6,48,3,3
7,d85ce0e92df9ddc051b211f1a5e3d9f223d7efd4c992459acf257316ad43609c,1.2478889980340278,-0.008168539951554933,-0.029646098442067854,-0.10955987073636936,0.06867214278605616,0.8816945952102174,0.1287554565262733,-0.2276208744208894,0.31466747576359816,-0.046840356510954174,-0.050652471212060464,1,0,0,0,0,0,1,1,0,0,1,60,5,2,4,1,5,2629,29,9,20,4,0,0,19,73,3,3
8,ccbfe46d5e42b751ffe2a742680e853f50ac12e9399c2ecc0538d68f5c1ed6b2,1.0048492278282992,0.019437160263071716,-0.031306982563164214,0.10798341717738418,3.2065829172330996e-14,0.5295342357926749,-0.10456805897040508,-0.2276208744208894,0.8403977613444976,-0.04499407609481091,-0.05918807001033615,1,0,0,0,0,0,0,0,0,0,0,60,5,2,5,1,2,2416,30,9,20,4,0,0,19,73,3,3
9,3aafa3a1f12f483740a52956af100223333d0e3c79bf2ce341896dd554e72293,3.5261375356248816,-0.021971390058868254,-0.039611403168646,-0.21833151469324613,-0.9896214871697855,2.3458592363137586e-16,0.010405636475246718,0.0,0.785562790921735,-0.045263439274180535,-0.061321969709905076,1,0,0,0,0,0,0,0,1,0,1,33,3,5,0,4,5,2887,0,0,16,1,0,0,4,72,3,3
10,c60431fbca90067f105570e1e8a684bcd7048205bbf6c40d71c3d558626f2344,3.5272772297407333,-0.049577090273494905,-0.04044184522919418,-0.21833151469324613,3.2065829172330996e-14,2.3458592363137586e-16,0.010405636475246718,0.0,1.2568008179923515,-0.043210161584388077,-0.05918807001033615,1,0,0,0,0,0,0,0,0,0,1,33,4,5,0,4,5,2777,0,0,19,1,0,0,0,8,5,5
